emprunt_id,membre_id,livre_id,titre_livre,categorie,date_emprunt,date_retour,duree_prevue_jours,statut,ville_membre,note_lecteur
2957,662,350,La Planete des Singes,Science-Fiction,2024-07-07,2024-07-12,7,rendu,Fes,
2958,63,844,L'Empire Ottoman,Histoire,2024-05-18,2024-05-25,14,rendu,Agadir,1.1
2959,558,205,Matilda,Jeunesse,2026-08-21,2026-08-27,21,rendu,Tanger,
2960,567,555,SQL pour les Nuls - Tome 5,Informatique,2023-11-15,2023-11-18,7,rendu,Fes,
2961,773,754,Les Fleurs du Mal - Tome 3,Poesie,2023-01-15,2023-01-27,21,rendu,Rabat,3.9
2962,437,134,Les Schtroumpfs - Tome 5,BD,2024-11-19,2024-11-20,30,rendu,Tanger,3.0
2963,198,1105,Nelson Mandela,Biographie,2026-06-23,2026-06-27,7,rendu,Casablanca,4.3
2964,138,615,Le Pragmatic Programmer,Informatique,2024-10-27,2024-11-01,7,rendu,Casablanca,
2965,184,790,Maigret,Policier,2023-06-05,,7,perdu,Fes,
2966,326,786,Sherlock Holmes - Tome 4,Policier,2024-10-16,2024-11-04,21,rendu,Marrakech,4.8
2967,248,984,Fahrenheit 451,Science-Fiction,2025-02-21,2025-03-15,30,rendu,Meknes,
2968,794,344,Ainsi Parlait Zarathoustra,Essai,2026-03-13,2026-03-31,21,rendu,Meknes,2.0
2969,67,1110,Blake et Mortimer,BD,2024-01-28,2024-02-04,7,rendu,Fes,
2970,313,260,Le Capital,Essai,2024-07-28,2024-08-04,14,rendu,Meknes,
2971,525,385,La Peste,Roman,2024-07-07,2024-08-02,30,rendu,Tanger,
2972,552,472,Fondation,Science-Fiction,2024-05-02,2024-05-14,21,rendu,Rabat,
2973,756,1079,Data Engineering 101,Informatique,2025-02-19,2025-02-28,30,rendu,Casablanca,
2974,795,742,Fondation,Science-Fiction,2024-08-12,2024-08-24,14,rendu,Marrakech,3.5
2975,137,1136,1984 - Tome 3,Science-Fiction,2024-11-06,,21,perdu,Tanger,
2976,210,697,Histoire de l'Islam,Histoire,2023-02-14,2023-03-04,21,rendu,Agadir,
2977,492,17,L'Art de la Guerre - Tome 2,Essai,2024-05-24,2024-06-13,30,rendu,Meknes,1.8
2978,616,197,Illuminations,Poesie,2025-08-21,2025-08-30,30,rendu,Oujda,3.2
2979,207,10,Dune - Tome 3,Science-Fiction,2023-03-19,2023-04-06,21,rendu,Oujda,2.1
2980,292,824,Nelson Mandela - Tome 3,Biographie,2025-02-11,2025-03-02,30,rendu,Tanger,
2981,419,219,Asterix - Tome 3,BD,2025-07-26,2025-08-02,7,rendu,Meknes,
2982,88,535,Leonard de Vinci,Biographie,2026-06-26,2026-06-29,30,rendu,Casablanca,
2983,221,1073,Une Histoire du Maroc - Tome 4,Histoire,2024-06-17,2024-07-30,30,rendu_en_retard,Oujda,
2984,429,886,Le Journal d'un Gars,Jeunesse,2024-10-29,2024-10-30,7,rendu,Meknes,
2985,703,197,Illuminations,Poesie,2025-02-26,2025-03-07,30,rendu,Marrakech,3.8
2986,377,891,La Planete des Singes - Tome 1,Science-Fiction,2026-03-24,,21,perdu,Tanger,
2987,332,35,Leonard de Vinci,Biographie,2026-08-15,2026-08-29,21,rendu,Fes,
2988,319,94,Tintin,BD,2023-10-05,2023-10-23,21,rendu,Meknes,4.3
2989,550,344,Ainsi Parlait Zarathoustra,Essai,2024-11-09,2024-12-11,30,rendu_en_retard,Marrakech,4.9
2990,699,493,Steve Jobs,Biographie,2026-01-08,2026-01-24,21,rendu,Meknes,
2991,774,771,Asterix - Tome 4,BD,2024-09-08,2024-09-15,7,rendu,Fes,
2992,295,1174,Tintin,BD,2024-05-15,2024-06-12,30,rendu,Casablanca,
2993,201,662,Les Enquetes d'Hercule Poirot - Tome 1,Policier,2025-11-14,2025-11-17,21,rendu,Casablanca,
2994,783,290,Leonard de Vinci,Biographie,2025-06-18,2025-06-21,30,rendu,Fes,2.2
2995,516,756,La Deuxieme Guerre Mondiale,Histoire,2023-10-29,2023-11-15,30,rendu,Meknes,
2996,50,443,Millenium,Policier,2025-03-04,2025-03-06,21,rendu,Fes,
2997,221,520,Le Contrat Social,Essai,2024-09-14,2024-10-04,21,rendu,Tanger,
2998,800,774,Le Nom de la Rose,Policier,2024-05-15,2024-06-01,14,rendu_en_retard,Marrakech,2.5
2999,696,864,Le Contrat Social - Tome 2,Essai,2023-07-01,2023-07-25,30,rendu,Casablanca,
3000,226,255,Blake et Mortimer - Tome 4,BD,2025-07-03,2025-07-15,21,rendu,Oujda,
3001,439,355,Le Journal d'un Gars,Jeunesse,2025-04-26,2025-05-03,14,rendu,Oujda,
3002,714,85,Le Journal d'un Gars - Tome 3,Jeunesse,2025-11-09,2025-11-18,30,rendu,Oujda,
3003,384,559,Matilda,Jeunesse,2024-08-10,2024-08-24,14,rendu,Agadir,2.4
3004,195,914,Sherlock Holmes,Policier,2025-07-30,2025-07-31,21,rendu,Fes,
3005,477,860,Les Fleurs du Mal - Tome 4,Poesie,2026-02-15,2026-02-24,30,rendu,Marrakech,4.5
3006,432,957,Harry Potter,Jeunesse,2024-12-27,2024-12-31,7,rendu,Agadir,1.4
3007,325,965,Dune,Science-Fiction,2024-03-01,2024-04-03,14,rendu_en_retard,Casablanca,
3008,659,96,L'Empire Ottoman - Tome 2,Histoire,2026-03-15,2026-03-29,21,rendu,Agadir,3.9
3009,154,496,L'Art de la Guerre,Essai,2024-08-17,2024-09-03,21,rendu,Agadir,
3010,433,749,Steve Jobs,Biographie,2024-05-18,2024-05-25,21,rendu,Marrakech,
3011,441,66,Les Fleurs du Mal - Tome 4,Poesie,2026-07-16,2026-07-17,7,rendu,Tanger,
3012,585,162,La Peste,Roman,2023-05-24,2023-05-31,7,rendu,Tanger,
3013,772,741,Les Schtroumpfs - Tome 2,BD,2025-05-13,2025-06-09,7,rendu_en_retard,Meknes,
3014,83,178,Harry Potter,Jeunesse,2026-01-26,2026-01-29,7,rendu,Fes,
3015,459,567,Sherlock Holmes,Policier,2025-04-02,2025-05-12,30,rendu_en_retard,Oujda,
3016,96,1046,Histoire de l'Islam,Histoire,2026-08-09,2026-08-31,30,rendu,Casablanca,2.8
3017,598,843,Histoire de l'Islam,Histoire,2025-03-29,2025-04-03,30,rendu,Casablanca,
3018,730,273,La Deuxieme Guerre Mondiale,Histoire,2025-01-25,2025-02-14,30,rendu,Agadir,3.6
3019,70,566,Millenium,Policier,2023-12-03,2023-12-04,14,rendu,Marrakech,
3020,191,1017,Sapiens,Histoire,2025-05-15,2025-05-26,21,rendu,Tanger,
3021,697,496,L'Art de la Guerre,Essai,2026-06-30,2026-07-05,30,rendu,Rabat,2.4
3022,222,181,Une Histoire du Maroc,Histoire,2025-12-25,2026-01-04,30,rendu,Oujda,4.5
3023,219,1131,Matilda,Jeunesse,2026-04-24,2026-04-30,7,rendu,Agadir,2.8
3024,310,263,Steve Jobs,Biographie,2023-01-06,2023-01-11,14,rendu,Tanger,4.7
3025,765,341,Alcools - Tome 5,Poesie,2024-04-07,2024-05-04,30,rendu,Agadir,
3026,551,833,Maigret,Policier,2025-04-27,2025-05-13,21,rendu,Oujda,1.8
3027,209,751,Clean Code,Informatique,2023-06-06,,14,perdu,Agadir,
3028,527,766,Le Petit Prince,Roman,2024-02-05,2024-02-19,21,rendu,Agadir,
3029,81,716,Le Journal d'un Gars,Jeunesse,2024-03-06,2024-03-10,21,rendu,Oujda,
3030,336,704,Ibn Battuta,Biographie,2026-06-29,2026-07-04,7,rendu,Tanger,
3031,694,156,Charlie et la Chocolaterie - Tome 5,Jeunesse,2023-12-16,2024-01-11,30,rendu,Rabat,2.4
3032,636,365,SQL pour les Nuls - Tome 3,Informatique,2024-03-16,2024-03-18,14,rendu,Fes,4.0
3033,586,188,1984,Science-Fiction,2026-01-26,2026-01-28,7,rendu,Rabat,
3034,395,388,Fondation,Science-Fiction,2024-06-14,2024-06-28,14,rendu,Marrakech,1.6
3035,706,758,Histoire de l'Islam,Histoire,2026-03-22,2026-03-30,30,rendu,Casablanca,
3036,754,209,Lucky Luke,BD,2023-12-22,2023-12-24,7,rendu,Oujda,
3037,303,186,Introduction a Python - Tome 5,Informatique,2023-06-28,2023-07-01,21,rendu,Fes,2.3
3038,657,730,L'Empire Ottoman - Tome 4,Histoire,2025-01-12,2025-01-14,14,rendu,Agadir,1.8
3039,315,608,Le Capital,Essai,2023-01-22,2023-01-25,30,rendu,Rabat,
3040,632,835,Les Enquetes d'Hercule Poirot,Policier,2025-01-08,2025-01-19,21,rendu,Agadir,
3041,760,886,Le Journal d'un Gars,Jeunesse,2024-05-01,2024-05-11,21,rendu,Rabat,
3042,760,377,Discours de la Methode,Essai,2026-05-08,2026-06-04,7,rendu_en_retard,Tanger,1.2
3043,315,169,Sapiens,Histoire,2026-06-19,,7,perdu,Rabat,
3044,712,784,Histoire de l'Islam,Histoire,2026-08-05,2026-08-08,30,rendu,Casablanca,4.0
3045,720,1079,Data Engineering 101,Informatique,2026-07-27,2026-08-01,14,rendu,Marrakech,
3046,127,829,Odes,Poesie,2026-01-01,2026-01-10,14,rendu,Marrakech,1.3
3047,512,729,Le Cimetiere Marin,Poesie,2026-07-30,2026-08-25,30,rendu,Meknes,
3048,583,782,L'Art de la Guerre - Tome 3,Essai,2023-10-27,2023-11-02,7,rendu,Tanger,
3049,726,177,Madame Bovary,Roman,2023-01-08,2023-01-10,7,rendu,Marrakech,
3050,650,721,Matilda,Jeunesse,2025-10-05,2025-10-14,14,rendu,Oujda,1.8
3051,150,63,Madame Bovary,Roman,2023-04-06,2023-04-15,30,rendu,Agadir,
3052,753,264,Steve Jobs,Biographie,2024-06-04,2024-06-06,14,rendu,Marrakech,
3053,91,605,L'Etranger,Roman,2024-11-16,2024-11-29,14,rendu,Casablanca,5.0
3054,658,48,Alcools,Poesie,2023-10-29,,30,perdu,Meknes,
3055,45,590,Matilda,Jeunesse,2026-02-05,2026-02-12,7,rendu,Marrakech,2.7
3056,368,616,Asterix,BD,2025-09-04,2025-09-17,21,rendu,Agadir,3.3
3057,264,171,Clean Code,Informatique,2026-07-23,2026-08-01,21,rendu,Fes,4.6
3058,338,726,Data Engineering 101,Informatique,2025-06-02,2025-06-11,14,rendu,Oujda,
3059,523,907,Tintin,BD,2025-02-19,2025-03-11,21,rendu,Fes,2.6
3060,54,854,Les Fleurs du Mal,Poesie,2026-08-18,2026-08-21,14,rendu,Casablanca,
3061,101,397,Millenium - Tome 3,Policier,2026-02-12,,30,perdu,Tanger,
3062,494,568,Le Nom de la Rose,Policier,2025-07-04,2025-07-09,7,rendu,Casablanca,1.1
3063,338,249,Steve Jobs,Biographie,2024-06-09,2024-06-27,21,rendu,Marrakech,
3064,584,594,Millenium,Policier,2024-09-22,2024-09-29,7,rendu,Rabat,4.2
3065,749,98,Les Fleurs du Mal - Tome 1,Poesie,2025-01-10,2025-01-13,14,rendu,Fes,
3066,96,838,La Deuxieme Guerre Mondiale,Histoire,2025-08-29,2025-09-12,14,rendu,Agadir,
3067,130,807,Une Histoire du Maroc,Histoire,2025-10-07,2025-10-10,7,rendu,Meknes,
3068,542,848,Odes - Tome 5,Poesie,2024-11-10,2024-11-15,30,rendu,Marrakech,3.7
3069,679,1096,Les Miserables,Roman,2024-01-16,2024-01-19,14,rendu,Casablanca,
3070,114,1080,1984,Science-Fiction,2024-03-23,2024-03-27,14,rendu,Casablanca,
3071,523,1054,Le Journal d'un Gars - Tome 2,Jeunesse,2024-12-03,2024-12-13,30,rendu,Meknes,
3072,420,1015,Matilda - Tome 1,Jeunesse,2025-10-25,2025-10-29,7,rendu,Tanger,3.2
3073,492,551,Steve Jobs,Biographie,2024-07-28,2024-08-13,21,rendu,Agadir,1.9
3074,652,411,Dune,Science-Fiction,2023-06-16,2023-06-28,30,rendu,Agadir,
3075,163,1031,Les Fleurs du Mal - Tome 2,Poesie,2026-06-29,2026-07-22,30,rendu,Oujda,
3076,90,132,La Deuxieme Guerre Mondiale,Histoire,2026-07-26,2026-08-08,21,rendu,Marrakech,
3077,331,247,Fahrenheit 451,Science-Fiction,2026-08-28,2026-09-02,7,rendu,Oujda,
3078,343,459,La Peste,Roman,2024-07-03,2024-07-14,30,rendu,Rabat,
3079,798,893,Le Cimetiere Marin - Tome 1,Poesie,2024-09-28,2024-10-02,7,rendu,Meknes,3.9
3080,52,1159,Madame Bovary - Tome 4,Roman,2024-02-28,2024-03-05,21,rendu,Casablanca,
3081,406,393,Madame Bovary - Tome 3,Roman,2023-03-19,2023-03-22,7,rendu,Oujda,
3082,159,354,Fondation,Science-Fiction,2024-07-29,2024-08-21,14,rendu_en_retard,Fes,3.7
3083,172,983,Charlie et la Chocolaterie,Jeunesse,2025-02-20,2025-03-11,30,rendu,Tanger,
3084,711,101,Les Schtroumpfs - Tome 5,BD,2023-06-19,2023-06-26,7,rendu,Fes,2.2
3085,6,148,Odes - Tome 5,Poesie,2024-11-14,2024-11-18,14,rendu,Agadir,
3086,540,818,Illuminations,Poesie,2025-03-30,2025-05-11,30,rendu_en_retard,Agadir,2.7
3087,17,707,Les Fleurs du Mal,Poesie,2024-05-16,2024-05-17,14,rendu,Meknes,
3088,274,826,Le Journal d'un Gars,Jeunesse,2026-07-20,2026-07-21,14,rendu,Agadir,
3089,405,613,Le Cimetiere Marin,Poesie,2026-07-02,2026-07-14,7,rendu_en_retard,Agadir,
3090,757,315,Charlie et la Chocolaterie,Jeunesse,2025-10-23,2025-10-29,21,rendu,Rabat,
3091,366,658,SQL pour les Nuls,Informatique,2026-08-22,2026-09-05,14,rendu,Casablanca,
3092,465,697,Histoire de l'Islam,Histoire,2024-10-17,2024-11-06,14,rendu_en_retard,Meknes,2.0
3093,622,760,Data Engineering 101,Informatique,2025-03-25,2025-04-03,30,rendu,Tanger,
3094,3,914,Sherlock Holmes,Policier,2026-02-23,2026-03-02,7,rendu,Agadir,4.1
3095,577,1167,L'Art de la Guerre,Essai,2023-07-24,2023-07-27,7,rendu,Agadir,3.3
3096,705,568,Le Nom de la Rose,Policier,2024-09-04,2024-09-09,7,rendu,Marrakech,3.7
3097,440,565,Illuminations - Tome 2,Poesie,2026-06-23,2026-07-04,14,rendu,Fes,
3098,660,689,Matilda,Jeunesse,2026-03-14,2026-03-29,30,rendu,Meknes,4.1
3099,597,76,L'Etranger,Roman,2025-09-12,2025-09-15,7,rendu,Tanger,
3100,726,431,Tintin,BD,2026-07-31,2026-08-14,21,rendu,Oujda,
3101,105,689,Matilda,Jeunesse,2025-04-20,2025-05-02,14,rendu,Casablanca,
3102,273,111,L'Art de la Guerre - Tome 4,Essai,2025-09-24,2025-10-17,30,rendu,Fes,1.5
3103,216,738,Les Fleurs du Mal,Poesie,2026-04-30,2026-05-02,30,rendu,Casablanca,4.8
3104,659,517,La Deuxieme Guerre Mondiale,Histoire,2025-08-04,2025-08-29,30,rendu,Tanger,
3105,270,493,Steve Jobs,Biographie,2023-05-27,2023-06-12,21,rendu,Marrakech,4.8
3106,480,1025,Les Enquetes d'Hercule Poirot - Tome 2,Policier,2024-11-20,2024-11-28,30,rendu,Agadir,4.9
3107,650,1000,Sherlock Holmes,Policier,2024-09-24,2024-09-27,7,rendu,Agadir,
3108,635,644,Les Enquetes d'Hercule Poirot,Policier,2023-11-07,2023-11-16,14,rendu,Agadir,
3109,358,1132,Sherlock Holmes,Policier,2023-02-06,2023-02-26,21,rendu,Tanger,
3110,371,1028,Le Capital,Essai,2023-07-20,2023-07-25,30,rendu,Tanger,
3111,121,397,Millenium - Tome 3,Policier,2025-04-20,2025-05-02,14,rendu,Tanger,
3112,308,38,Einstein,Biographie,2025-08-10,2025-08-17,7,rendu,Oujda,
3113,99,522,Les Miserables - Tome 3,Roman,2025-10-06,2025-11-01,30,rendu,Fes,
3114,128,1139,Fondation,Science-Fiction,2024-12-16,2024-12-18,21,rendu,Fes,
3115,291,764,Les Enquetes d'Hercule Poirot,Policier,2025-04-04,2025-04-12,7,rendu_en_retard,Fes,
3116,398,207,Les Fleurs du Mal,Poesie,2023-02-09,2023-02-14,7,rendu,Casablanca,
3117,41,215,1984,Science-Fiction,2025-06-16,2025-06-20,7,rendu,Tanger,
3118,501,1113,Le Pragmatic Programmer,Informatique,2025-06-04,2025-06-10,14,rendu,Agadir,
3119,408,320,Le Monde de Narnia,Jeunesse,2023-08-13,2023-08-21,21,rendu,Meknes,
3120,694,512,Les Schtroumpfs,BD,2024-12-23,2024-12-31,14,rendu,Fes,3.7
3121,365,1080,1984,Science-Fiction,2026-05-02,,30,perdu,Casablanca,
3122,466,263,Steve Jobs,Biographie,2023-09-30,2023-10-02,14,rendu,Fes,2.4
3123,110,398,Clean Code,Informatique,2026-06-07,2026-06-21,7,rendu_en_retard,Casablanca,
3124,318,338,La Planete des Singes,Science-Fiction,2025-10-05,2025-10-13,21,rendu,Meknes,
3125,689,461,L'Empire Ottoman - Tome 2,Histoire,2024-10-04,2024-10-28,30,rendu,Meknes,
3126,65,549,Fahrenheit 451,Science-Fiction,2025-12-01,2025-12-08,7,rendu,Casablanca,
3127,468,468,Ainsi Parlait Zarathoustra,Essai,2025-01-15,2025-02-02,30,rendu,Marrakech,1.1
3128,179,702,Charlie et la Chocolaterie,Jeunesse,2024-01-07,2024-01-31,30,rendu,Oujda,
3129,271,140,Asterix - Tome 2,BD,2023-10-17,2023-11-05,30,rendu,Rabat,1.5
3130,132,402,Harry Potter,Jeunesse,2023-12-07,2023-12-13,7,rendu,Marrakech,1.6
3131,387,170,Data Engineering 101,Informatique,2023-08-10,2023-08-28,30,rendu,Marrakech,
3132,634,627,Le Monde de Narnia - Tome 2,Jeunesse,2025-03-18,2025-03-27,21,rendu,Tanger,2.5
3133,220,371,SQL pour les Nuls,Informatique,2025-02-06,2025-02-09,21,rendu,Rabat,
3134,792,1091,Tintin,BD,2024-12-02,2024-12-06,7,rendu,Fes,
3135,19,693,Millenium,Policier,2023-10-23,2023-10-30,7,rendu,Rabat,
3136,222,911,Alcools,Poesie,2025-05-28,2025-06-15,21,rendu,Tanger,
3137,83,533,Odes - Tome 1,Poesie,2025-02-21,2025-02-23,14,rendu,Tanger,
3138,250,407,Tintin - Tome 1,BD,2024-05-12,2024-05-14,21,rendu,Rabat,2.8
3139,555,425,Illuminations,Poesie,2025-03-08,2025-03-13,7,rendu,Oujda,
3140,405,597,Einstein,Biographie,2025-08-17,,30,perdu,Casablanca,
3141,432,990,Le Contrat Social - Tome 2,Essai,2025-06-10,2025-06-12,7,rendu,Oujda,4.0
3142,383,6,Le Capital - Tome 3,Essai,2025-09-16,2025-10-09,30,rendu,Rabat,
3143,190,193,Discours de la Methode,Essai,2025-10-18,,14,perdu,Meknes,
3144,575,102,Discours de la Methode,Essai,2026-09-07,,21,en_cours,Meknes,
3145,589,456,Alcools - Tome 2,Poesie,2023-04-02,2023-04-13,14,rendu,Marrakech,2.2
3146,337,821,Le Nom de la Rose - Tome 1,Policier,2024-06-09,2024-06-13,30,rendu,Rabat,
3147,331,473,1984 - Tome 3,Science-Fiction,2026-06-01,2026-06-04,7,rendu,Casablanca,
3148,737,997,Madame Bovary,Roman,2026-08-14,2026-08-16,7,rendu,Agadir,
3149,118,923,Tintin - Tome 5,BD,2023-04-19,2023-04-25,7,rendu,Agadir,
3150,103,385,La Peste,Roman,2025-03-24,2025-04-01,14,rendu,Casablanca,
3151,180,242,Le Pragmatic Programmer,Informatique,2024-11-11,2024-12-03,14,rendu_en_retard,Meknes,
3152,800,699,L'Art de la Guerre,Essai,2023-12-18,2023-12-23,30,rendu,Marrakech,3.3
3153,775,52,Les Enquetes d'Hercule Poirot,Policier,2026-02-01,2026-02-10,30,rendu,Casablanca,4.4
3154,618,475,Le Contrat Social - Tome 4,Essai,2024-02-12,2024-02-29,21,rendu,Tanger,4.4
3155,655,170,Data Engineering 101,Informatique,2023-01-09,2023-01-17,30,rendu,Agadir,
3156,492,638,La Peste - Tome 1,Roman,2024-11-23,2024-11-30,21,rendu,Agadir,4.5
3157,753,167,Matilda - Tome 1,Jeunesse,2024-09-15,2024-09-22,7,rendu,Rabat,3.2
3158,194,178,Harry Potter,Jeunesse,2026-03-16,2026-04-06,21,rendu,Oujda,
3159,13,452,L'Empire Ottoman,Histoire,2024-11-25,2025-01-10,30,rendu_en_retard,Rabat,
3160,717,55,Clean Code - Tome 1,Informatique,2024-01-29,2024-02-03,7,rendu,Oujda,
3161,587,622,Tintin - Tome 3,BD,2023-05-31,2023-06-12,14,rendu,Meknes,1.4
3162,402,519,Discours de la Methode - Tome 1,Essai,2026-01-12,2026-01-23,14,rendu,Agadir,2.8
3163,573,531,Charlie et la Chocolaterie,Jeunesse,2023-08-25,2023-09-07,30,rendu,Oujda,
3164,684,893,Le Cimetiere Marin - Tome 1,Poesie,2023-05-05,2023-05-07,7,rendu,Tanger,4.8
3165,732,932,Leonard de Vinci,Biographie,2026-07-24,2026-08-04,14,rendu,Oujda,
3166,46,467,Le Cimetiere Marin,Poesie,2024-04-07,2024-04-20,14,rendu,Meknes,
3167,740,925,Einstein,Biographie,2024-11-13,2024-11-22,30,rendu,Agadir,1.0
3168,556,576,Odes - Tome 5,Poesie,2025-12-28,2026-01-03,7,rendu,Oujda,
3169,223,240,Charlie et la Chocolaterie - Tome 4,Jeunesse,2026-01-13,2026-01-17,7,rendu,Casablanca,
3170,297,333,Millenium,Policier,2025-09-17,2025-09-24,7,rendu,Agadir,
3171,736,613,Le Cimetiere Marin,Poesie,2025-09-04,2025-09-08,30,rendu,Rabat,4.8
3172,590,969,Le Journal d'un Gars - Tome 2,Jeunesse,2025-03-14,2025-03-26,21,rendu,Tanger,
3173,360,857,Odes,Poesie,2024-11-30,2025-01-18,30,rendu_en_retard,Oujda,2.5
3174,591,431,Tintin,BD,2024-08-29,2024-08-30,21,rendu,Fes,
3175,624,1040,Harry Potter - Tome 1,Jeunesse,2024-06-12,2024-06-24,30,rendu,Meknes,2.7
3176,741,373,Einstein - Tome 5,Biographie,2026-08-24,,30,en_cours,Marrakech,
3177,420,1123,Millenium,Policier,2025-09-02,2025-09-09,7,rendu,Oujda,
3178,468,900,Sherlock Holmes,Policier,2026-05-05,2026-05-26,21,rendu,Fes,
3179,417,296,Les Enquetes d'Hercule Poirot,Policier,2025-02-09,2025-02-19,14,rendu,Marrakech,
3180,778,910,Les Miserables,Roman,2023-05-23,2023-06-14,7,rendu_en_retard,Fes,
3181,127,267,Le Journal d'un Gars - Tome 3,Jeunesse,2026-02-08,2026-03-02,30,rendu,Casablanca,
3182,669,344,Ainsi Parlait Zarathoustra,Essai,2024-08-11,2024-08-15,14,rendu,Fes,1.6
3183,632,471,Illuminations,Poesie,2024-05-31,2024-06-13,21,rendu,Casablanca,
3184,387,1160,Leonard de Vinci,Biographie,2024-06-13,2024-06-14,14,rendu,Meknes,
3185,671,268,Odes,Poesie,2024-01-26,2024-02-08,21,rendu,Agadir,
3186,614,626,Fondation,Science-Fiction,2023-07-05,2023-07-09,14,rendu,Oujda,
3187,50,68,1984,Science-Fiction,2025-02-22,2025-03-12,21,rendu,Agadir,2.9
3188,349,503,Alcools - Tome 1,Poesie,2023-08-07,2023-08-13,7,rendu,Casablanca,2.4
3189,319,294,La Deuxieme Guerre Mondiale - Tome 3,Histoire,2025-12-20,2025-12-24,7,rendu,Meknes,
3190,310,271,Nelson Mandela,Biographie,2025-01-17,2025-02-02,21,rendu,Meknes,
3191,653,915,Le Capital,Essai,2026-01-19,,30,perdu,Marrakech,
3192,44,469,L'Empire Ottoman,Histoire,2026-04-23,2026-04-27,14,rendu,Rabat,
3193,36,191,Le Petit Prince,Roman,2026-06-26,2026-07-10,21,rendu,Fes,
3194,795,1182,Odes,Poesie,2023-09-27,2023-10-22,30,rendu,Oujda,4.5
3195,509,416,Le Nom de la Rose - Tome 2,Policier,2023-06-06,2023-06-16,21,rendu,Agadir,
3196,178,1181,Discours de la Methode - Tome 5,Essai,2023-08-20,2023-09-08,30,rendu,Meknes,1.5
3197,9,481,Le Petit Prince - Tome 2,Roman,2024-02-03,2024-02-12,14,rendu,Casablanca,
3198,20,664,Le Journal d'un Gars,Jeunesse,2023-06-10,2023-06-14,7,rendu,Tanger,1.3
3199,22,302,L'Etranger,Roman,2023-11-23,2023-12-16,7,rendu_en_retard,Agadir,4.8
3200,69,816,Dune - Tome 1,Science-Fiction,2024-07-18,2024-08-09,30,rendu,Rabat,4.6
3201,416,851,Illuminations - Tome 1,Poesie,2023-09-27,2023-10-21,30,rendu,Casablanca,
3202,365,351,Fondation,Science-Fiction,2025-04-10,2025-04-16,30,rendu,Casablanca,3.9
3203,57,986,Les Fleurs du Mal,Poesie,2025-12-30,2026-01-17,21,rendu,Fes,3.3
3204,382,1040,Harry Potter - Tome 1,Jeunesse,2025-10-07,2025-10-19,14,rendu,Fes,3.8
3205,11,873,Les Schtroumpfs,BD,2023-04-11,2023-04-14,7,rendu,Oujda,
3206,158,470,Une Histoire du Maroc,Histoire,2023-10-03,2023-10-12,30,rendu,Agadir,
3207,103,943,Charlie et la Chocolaterie - Tome 4,Jeunesse,2023-01-15,2023-01-21,7,rendu,Rabat,
3208,509,990,Le Contrat Social - Tome 2,Essai,2023-09-28,2023-10-01,7,rendu,Rabat,
3209,48,245,Madame Bovary - Tome 5,Roman,2026-02-25,2026-03-09,14,rendu,Agadir,1.9
3210,153,1158,Clean Code,Informatique,2025-07-10,2025-07-15,7,rendu,Fes,
3211,600,698,Leonard de Vinci,Biographie,2025-11-01,2025-11-03,14,rendu,Agadir,
3212,647,762,Fahrenheit 451,Science-Fiction,2024-10-22,2024-11-05,7,rendu_en_retard,Oujda,3.4
3213,20,956,Histoire de l'Islam - Tome 1,Histoire,2024-11-15,2024-12-13,30,rendu,Rabat,
3214,318,376,Ainsi Parlait Zarathoustra,Essai,2024-09-04,2024-09-23,30,rendu,Meknes,1.5
3215,616,164,Les Schtroumpfs,BD,2025-11-25,2025-11-28,14,rendu,Tanger,
3216,482,921,Discours de la Methode,Essai,2024-04-27,2024-05-12,30,rendu,Oujda,4.0
3217,305,392,Madame Bovary,Roman,2026-07-25,2026-08-05,21,rendu,Tanger,
3218,474,1063,Fahrenheit 451 - Tome 5,Science-Fiction,2025-10-11,2025-10-25,14,rendu,Meknes,1.4
3219,416,630,Nelson Mandela,Biographie,2024-04-01,2024-04-06,7,rendu,Casablanca,
3220,232,554,Nelson Mandela - Tome 5,Biographie,2025-12-29,2025-12-31,7,rendu,Tanger,
3221,429,104,Leonard de Vinci - Tome 5,Biographie,2026-07-07,2026-07-12,7,rendu,Tanger,1.3
3222,716,726,Data Engineering 101,Informatique,2025-09-16,2025-09-19,14,rendu,Tanger,
3223,416,783,Tintin,BD,2023-10-11,2023-10-21,14,rendu,Marrakech,
3224,227,845,Histoire de l'Islam,Histoire,2026-05-12,2026-05-29,14,rendu_en_retard,Tanger,
3225,645,121,La Deuxieme Guerre Mondiale,Histoire,2023-07-25,2023-08-23,21,rendu_en_retard,Rabat,
3226,117,943,Charlie et la Chocolaterie - Tome 4,Jeunesse,2024-01-13,2024-01-15,14,rendu,Tanger,
3227,337,863,Les Enquetes d'Hercule Poirot,Policier,2026-03-16,2026-03-22,7,rendu,Rabat,
3228,129,457,Dune - Tome 5,Science-Fiction,2024-03-21,2024-03-30,21,rendu,Oujda,
3229,168,324,Le Pragmatic Programmer,Informatique,2026-03-24,2026-04-06,14,rendu,Agadir,
3230,701,851,Illuminations - Tome 1,Poesie,2025-09-12,2025-09-15,30,rendu,Agadir,3.4
3231,173,341,Alcools - Tome 5,Poesie,2025-06-02,2025-06-10,14,rendu,Fes,
3232,11,88,1984 - Tome 5,Science-Fiction,2024-02-20,2024-02-21,14,rendu,Casablanca,
3233,652,114,Matilda,Jeunesse,2025-06-04,2025-06-18,21,rendu,Rabat,
